Video,Codec,Resolution,Bitrate,CRF,BPP,PSNR,Inter,Intra
Beauty,H.265,960x480,964.18,23,0.017436704282407407,26.186708,1,0
Beauty,H.265,960x480,6181.94,23,0.11179723668981481,26.185737,0,1
Beauty,H.265,960x480,711.05,25,0.012858977141203704,26.195684,1,0
Beauty,H.265,960x480,4746.37,25,0.08583568431712962,26.193549,0,1
Beauty,H.264,960x480,662.02,25,0.011972294560185184,26.223815,1,0
Bosphorus,H.265,960x480,1440.38,23,0.02604853877314815,27.431655,1,0
Bosphorus,H.265,960x480,11870.18,23,0.21466616030092592,27.549225,0,1
Bosphorus,H.265,960x480,1001.94,25,0.01811957465277778,27.467949,1,0
Bosphorus,H.265,960x480,9126.98,25,0.16505678530092593,27.594799,0,1
Bosphorus,H.264,960x480,931.68,25,0.016848958333333334,27.559917,1,0
HoneyBee,H.265,960x480,1201.15,23,0.00948513454861111,37.895342,1,0
HoneyBee,H.265,960x480,10491.29,23,0.2657033058449074,35.040496,0,1
HoneyBee,H.265,960x480,900.00,25,0.007276114004629629,37.489107,1,0
HoneyBee,H.265,960x480,8360.42,25,0.21915346498842592,34.3581613,0,1
HoneyBee,H.264,960x480,807.07,25,0.009224175347222223,37.468210,1,0
Jockey,H.265,960x480,1201.15,23,0.02172218605324074,18.853600,1,0
Jockey,H.265,960x480,10491.29,23,0.18972963686342592,18.889952,0,1
Jockey,H.265,960x480,900.00,25,0.016276041666666668,18.859929,1,0
Jockey,H.265,960x480,8360.42,25,0.1511939380787037,18.901051,0,1
Jockey,H.264,960x480,807.07,25,0.01459544994212963,18.871028,1,0
ReadySetGo,H.265,960x480,2424.54,23,0.04384657118055556,19.250782,1,0
ReadySetGo,H.265,960x480,17424.02,23,0.3151045283564815,19.289287,0,1
ReadySetGo,H.265,960x480,1811.74,25,0.03276439525462963,19.263705,1,0
ReadySetGo,H.265,960x480,14027.56,25,0.25368127893518516,19.303568,0,1
ReadySetGo,H.264,960x480,1413.73,25,0.025566587094907407,19.272646,1,0
ShakeNDry,H.265,960x480,4436.90,23,0.0802390769675926,28.658281,1,0
ShakeNDry,H.265,960x480,16005.68,23,0.28945457175925926,28.178288,0,1
ShakeNDry,H.265,960x480,3229.98,25,0.05841254340277778,28.647228,1,0
ShakeNDry,H.265,960x480,12123.18,25,0.21924153645833333,28.017042,0,1
ShakeNDry,H.264,960x480,2125.71,25,0.0384423828125,28.551460,1,0
