,Vid,Resolution,Train Epoch,BPP,BPS,Quant PSNR,Ori PSNR,Model
0,8bit_SunBath_QTM8_QTE6,480_960,300,0.0870198712384259,2004937.8333,31.514930136299363,31.75140194928641,Vanilla 8bit
1,8bit_RaceNight_QTM8_QTE6,480_960,300,0.0431876338252314,995043.0833,27.013725075028223,27.171285361462104,Vanilla 8bit
2,8bit_FlowerKids_QTM8_QTE6,480_960,300,0.0431223777488425,993539.5833,27.34226869705662,27.44127674656136,Vanilla 8bit
3,8bit_FlowerFocus_QTM8_QTE6,480_960,300,0.0430898256655092,992789.5833,38.36355193144136,38.49087607133696,Vanilla 8bit
4,8bit_RiverBank_QTM8_QTE6,480_960,300,0.0431588614004629,994380.1667,31.07886444705653,31.14355336914305,Vanilla 8bit
5,8bit_CityAlley_QTM8_QTE6,480_960,300,0.0430837348090277,992649.25,40.91033648621882,41.017325502688855,Vanilla 8bit
6,8bit_YatchRide_QTM8_QTE6,480_960,300,0.0431010054976851,2383313.2,28.704296977310552,28.780798566350512,Vanilla 8bit
7,8bit_ShakeNDry_QTM8_QTE6,480_960,300,0.0869397786458333,4807422.0,34.33823000731998,34.3786090972733,Vanilla 8bit
8,8bit_Jockey_QTM8_QTE6,480_960,300,0.0431679832175925,2387016.8,30.33177752856367,30.47547858539908,Vanilla 8bit
9,8bit_Bosphorus_QTM8_QTE6,480_960,300,0.0431254376446759,2384664.2,33.9454888459514,34.01964535650678,Vanilla 8bit
10,8bit_Beauty_QTM8_QTE6,480_960,300,0.0431067310474537,2383629.8,34.2012075479869,34.29134219411738,Vanilla 8bit
11,8bit_ReadySteadyGo_QTM8_QTE6,480_960,300,0.0431160626446759,2384145.8,24.232325077413996,24.342697010648564,Vanilla 8bit
12,8bit_Twilight_QTM8_QTE6,480_960,300,0.0430912651909722,992822.75,40.722401749090366,40.84100891422174,Vanilla 8bit
13,8bit_HoneyBee_QTM8_QTE6,480_960,300,0.0430774739583333,2382012.0,40.26571783586718,40.35360115797134,Vanilla 8bit
0,vanilla_HoneyBee_QTM{qt_model}_QTE6,480_960,300,0.0064693287037037,357728.0,26.57,26.57,Vanilla 32bit
1,vanilla_Jockey_QTM{qt_model}_QTE6,480_960,300,0.0078422887731481,433647.2,30.44,30.32,Vanilla 32bit
2,vanilla_FlowerKids_QTM{qt_model}_QTE6,480_960,300,0.0079417607060185,182978.1667,27.37,27.3,Vanilla 32bit
3,vanilla_ShakeNDry_QTM{qt_model}_QTE6,480_960,300,0.0133275679976851,736961.2,34.3,34.29,Vanilla 32bit
4,vanilla_ReadySteadyGo_QTM{qt_model}_QTE6,480_960,300,0.0079370044849537,438884.6,24.28,24.19,Vanilla 32bit
5,vanilla_RaceNight_QTM{qt_model}_QTE6,480_960,300,0.0076027922453703,175168.3333,26.98,26.86,Vanilla 32bit
6,vanilla_Twilight_QTM{qt_model}_QTE6,480_960,300,0.0078587565104166,181065.75,40.95,40.9,Vanilla 32bit
7,vanilla_RiverBank_QTM{qt_model}_QTE6,480_960,300,0.0064702365451388,149074.25,20.52,20.52,Vanilla 32bit
8,vanilla_CityAlley_QTM{qt_model}_QTE6,480_960,300,0.0083533492476851,192461.1667,41.28,41.21,Vanilla 32bit
9,vanilla_YatchRide_QTM{qt_model}_QTE6,480_960,300,0.0075415328414351,417016.6,28.72,28.67,Vanilla 32bit
10,vanilla_Beauty_QTM{qt_model}_QTE6,480_960,300,0.0075534939236111,417678.0,34.29,34.26,Vanilla 32bit
11,vanilla_FlowerFocus_QTM{qt_model}_QTE6,480_960,300,0.0079368525752314,182865.0833,38.56,38.47,Vanilla 32bit
12,vanilla_SunBath_QTM{qt_model}_QTE6,480_960,300,0.0135366391782407,311884.1667,31.59,31.4,Vanilla 32bit
13,vanilla_Bosphorus_QTM{qt_model}_QTE6,480_960,300,0.0075278030960648,416257.4,33.98,33.92,Vanilla 32bit
0,2x_Twilight_QTM32_QTE6,960_1920,600,0.0017307662398726,159507.4167,37.50359028244189,37.53131462020774,2x 32bit
1,2x_SunBath_QTM32_QTE6,960_1920,600,0.0030059805410879,277031.1667,31.600540092502044,31.743263060721446,2x 32bit
2,2x_Bosphorus_QTM32_QTE6,960_1920,600,0.0015510027850115,343057.0,33.12147185629782,33.16373189166405,2x 32bit
3,2x_RaceNight_QTM32_QTE6,960_1920,600,0.0015513355396412,142971.0833,26.57739526828273,26.71823621979143,2x 32bit
4,2x_FlowerKids_QTM32_QTE6,960_1920,600,0.0016199905960648,149298.3333,26.861386316749982,26.91488514697812,2x 32bit
5,2x_Beauty_QTM32_QTE6,960_1920,600,0.0015965178313078,353124.2,32.43414658876971,32.45357883588075,2x 32bit
6,2x_CityAlley_QTM32_QTE6,960_1920,600,0.0016562563295717,152640.5833,36.75883355988452,36.785714625081326,2x 32bit
7,2x_ReadySteadyGo_QTM32_QTE6,960_1920,600,0.0015569634331597,344375.4,23.95484797063557,24.038564423163194,2x 32bit
8,2x_FlowerFocus_QTM32_QTE6,960_1920,600,0.0016023121021412,147669.0833,37.06354745550138,37.11206392997868,2x 32bit
9,2x_Jockey_QTM32_QTE6,960_1920,600,0.0015324652777777,338956.8,30.02003932347054,30.14387491397684,2x 32bit
10,2x_YatchRide_QTM32_QTE6,960_1920,600,0.0015657172309027,346311.6,27.869008456326764,27.91082367082882,2x 32bit
11,2x_HoneyBee_QTM32_QTE6,960_1920,600,0.0016103786892361,356190.0,37.84517147845197,37.86154616980607,2x 32bit
12,2x_ShakeNDry_QTM32_QTE6,960_1920,600,0.0030794162326388,681117.6,33.2390512430025,33.24610618703021,2x 32bit
13,2x_RiverBank_QTM32_QTE6,960_1920,600,0.0015707076461226,144756.4167,27.478926677624308,27.49997211504068,2x 32bit
0,2x_Twilight_QTM32_QTE6,960_1920,600,0.0012235387731481,112761.3333,37.50359028244189,37.53131462020774,Broccoli
1,2x_SunBath_QTM32_QTE6,960_1920,600,0.0012064525462962,111186.6667,31.600540092502044,31.743263060721446,Broccoli
2,2x_Bosphorus_QTM32_QTE6,960_1920,600,0.0005461950231481,120809.6,33.12147185629782,33.16373189166405,Broccoli
3,2x_RaceNight_QTM32_QTE6,960_1920,600,0.0005682436342592,52369.3333,26.57739526828273,26.71823621979143,Broccoli
4,2x_FlowerKids_QTM32_QTE6,960_1920,600,0.0008457826967592,77947.3333,26.861386316749982,26.91488514697812,Broccoli
5,2x_Beauty_QTM32_QTE6,960_1920,600,0.0007714337384259,170628.8,32.43414658876971,32.45357883588075,Broccoli
6,2x_CityAlley_QTM32_QTE6,960_1920,600,0.0009170138888888,84512.0,36.75883355988452,36.785714625081326,Broccoli
7,2x_ReadySteadyGo_QTM32_QTE6,960_1920,600,0.0005877748842592,130006.4,23.95484797063557,24.038564423163194,Broccoli
8,2x_FlowerFocus_QTM32_QTE6,960_1920,600,0.0006926142939814,63831.3333,37.06354745550138,37.11206392997868,Broccoli
9,2x_Jockey_QTM32_QTE6,960_1920,600,0.0004642216435185,102678.4,30.02003932347054,30.14387491397684,Broccoli
10,2x_YatchRide_QTM32_QTE6,960_1920,600,0.0006144820601851,135913.6,27.869008456326764,27.91082367082882,Broccoli
11,2x_HoneyBee_QTM32_QTE6,960_1920,600,0.000762745949074,168707.2,37.84517147845197,37.86154616980607,Broccoli
12,2x_ShakeNDry_QTM32_QTE6,960_1920,600,0.0014934172453703,330320.0,33.2390512430025,33.24610618703021,Broccoli
13,2x_RiverBank_QTM32_QTE6,960_1920,600,0.0006311631944444,58168.0,27.478926677624308,27.49997211504068,Broccoli
